"TIV of arms exports from all, 1950-2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 20 June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total
Aircraft,5323,6715,11647,15553,12882,12582,14043,13724,15999,10358,7371,7487,7998,11198,14600,13006,11925,12360,12607,14252,11863,17049,17189,17070,18397,19134,17070,16947,18068,17363,19693,20979,21274,20366,18317,17617,18045,17997,15656,17376,15367,12853,11947,10496,7379,9192,8702,14238,14523,11242,8196,9249,8103,9070,10509,8092,9458,11644,9765,9896,11889,15250,11680,10591,11419,12798,12328,14043,11764,14010,11231,13104,949130
Air defence systems,,,42,42,56,197,358,480,605,1300,1523,1229,1335,1345,2217,2264,1868,1383,1344,2031,2032,2893,2915,3716,3166,3531,4497,6405,6205,4502,4125,3420,3313,2778,2350,3071,2325,3206,3040,2772,1550,1377,548,895,686,621,724,754,773,951,826,651,653,510,516,871,935,870,1271,1136,1081,1285,1143,1554,1257,1992,2500,1835,1388,819,343,471,122664
Armoured vehicles,1024,993,2419,3980,2881,2358,4053,3890,3179,3212,3337,3021,3145,3128,3263,3830,3387,3716,3928,4653,5165,5506,5861,6025,6667,5052,4283,6759,8029,6454,5166,6504,7042,6954,7185,5736,5923,5470,4638,3554,3394,3683,3296,5286,3972,3658,3760,3541,2732,2946,2041,1731,2059,1998,1978,2029,3092,3650,3264,3443,3912,3604,3590,2746,2907,2650,3903,3133,3003,2628,2436,2526,279962
Artillery,337,556,674,740,572,810,988,782,741,648,565,732,632,593,612,707,1200,978,1227,949,932,1008,892,937,826,976,874,739,562,491,722,1022,1297,1541,1430,1549,981,1121,1147,893,543,856,786,370,632,468,558,604,420,345,331,136,195,180,424,459,497,592,555,588,776,719,627,461,267,302,295,217,367,437,496,275,49760
Engines,468,773,818,1141,1003,1096,1511,1364,1196,942,501,287,292,431,423,359,489,447,459,427,499,775,1058,823,796,891,819,737,818,741,765,821,855,809,749,673,735,598,736,852,767,678,601,661,632,658,697,594,556,599,561,599,584,722,966,779,677,792,995,977,1114,1168,1346,1462,1484,1561,1597,1430,1738,1991,1669,1564,62197
Missiles,,,,,,57,55,49,704,1105,768,870,1183,1319,1633,1633,1575,1421,2090,2074,1392,1507,2168,2709,2862,2958,2988,3349,3830,3330,3847,4312,4584,4019,3888,4378,4759,4970,4823,4489,4230,3816,2242,3355,2881,2857,2964,2838,3904,3024,2545,2092,2427,2057,2404,2569,3189,3119,3221,3017,2661,3015,3459,4150,3219,3308,4460,4519,4137,3752,3133,2586,188851
Naval weapons,1,12,,133,40,129,148,181,103,140,169,114,74,108,302,157,82,87,112,69,46,22,132,86,96,132,114,130,189,148,197,239,260,354,242,180,224,289,353,420,242,334,210,236,221,193,283,154,229,140,159,77,158,265,330,262,230,191,214,118,166,143,226,207,295,182,161,175,233,159,161,152,12517
Other,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,20,6,6,6,,,24,109,89,56,25,69,87,38,57,32,22,48,59,155,146,100,130,187,255,228,155,315,321,185,137,196,199,124,146,198,237,234,328,284,297,236,163,200,119,142,124,445,306,261,7313
Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,100,,100,100,50,50,50,10,510
Sensors,25,4,74,261,420,439,428,376,372,268,442,554,701,776,983,954,1072,1025,767,848,605,525,598,364,359,719,942,733,806,1008,1345,1608,1536,1911,1978,1607,1375,1526,1798,1645,1431,1522,1339,1292,1370,1327,1194,988,1163,1104,989,1146,1166,1163,1283,1300,1447,1529,1356,1161,1236,1477,1614,1753,1705,1773,1632,1166,1104,1192,798,923,75421
Ships,914,2460,859,1647,2197,2821,3027,3317,2702,3415,3009,2044,2148,1383,2422,2226,3385,4051,3392,3187,2911,3226,3381,4115,3574,3767,3744,4015,4007,3819,5885,6424,5499,5239,5464,3398,4746,4273,4504,3306,2888,3026,3086,3162,5063,3755,4721,5023,3366,4522,3349,2847,2359,2886,2749,4965,5118,4044,3244,3740,2610,3078,3995,4081,4412,3880,4385,5119,3419,2018,3055,3765,253633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8092,11512,16532,23497,20051,20488,24611,24163,25601,21388,17685,16338,17509,20282,26456,25138,24985,25469,25926,28491,25445,32511,34214,35851,36750,37167,35332,39814,42538,37964,41833,45384,45685,44041,41691,38247,39171,39482,36717,35355,30470,28300,24202,25854,22964,22916,23858,28961,27821,25188,19318,18714,17840,19046,21358,21500,24790,26629,24121,24312,25773,30023,27976,27240,27227,28646,31480,31878,27327,27502,23677,25638,2001957
